Test_id,Time[sec],Dyno_Speed[mph],Dyno_Tractive_Effort[N],Test_Cell_RH[%],Test_Cell_Temp[C],Phase_#,Engine_Oil_Temp[C],Engine_Coolant_Temp[C],Engine_Speed[rpm],HV_Battery_Current[A],HV_Battery_Voltage[V],Fuel_Flow_FuelScale[cc/s]
61302058,76.7,25.71,492.986,43.621,22.041,1.0,27.594,42.0,1286.5,-0.116,109.393,1.218
61302058,76.8,25.749,350.723,43.621,22.043,1.0,27.588,42.0,1279.75,3.196,109.121,1.218
61302058,76.9,25.75,247.848,43.622,22.045,1.0,27.604,42.0,1280.5,4.645,109.004,1.218
61302058,77.0,25.751,230.652,43.621,22.044,1.0,27.59,42.0,1287.5,4.981,108.975,1.218
61302058,77.1,25.751,220.27,43.621,22.043,1.0,27.612,42.0,1278.5,4.976,108.976,1.218
